Vendor,Default profile,Default activity level,Small medium GB/day,Medium medium GB/day,Large medium GB/day
Salesforce,Standard activity,Normal,0.001867365166544914,0.013564315065741538,0.13110151812434195
ServiceNow,Standard activity,Normal,0.0018066862225532532,0.013113526254892349,0.12673229724168777
Workday,Standard activity,Normal,0.001818067952990532,0.013232262060046195,0.12792402729392052
Box,Standard activity,Normal,0.0017740131169557574,0.013309339806437495,0.12915491685271263
Atlassian Cloud,Standard activity,Normal,0.0018373745679855348,0.013695114850997924,0.13279236555099488
Average / Blended,Standard activity,Normal,0.0018207014054059981,0.0133829116076231,0.12954102501273157
